magnitude,cdi,mmi,alert,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,continent,country
6.5,0,7,,650,us,349,0.0,30.1,mwb,5.0,-35.173,-70.525,South America,Chile
7.0,6,6,green,758,us,0,1.778,18.0,mww,39.0,-5.7012,151.205,,Papua New Guinea
6.9,0,6,,732,us,0,0.0,0.0,mwc,33.0,-10.769,161.445,,Solomon Islands
6.6,7,7,,787,us,417,0.0,30.1,mwc,9.0,-2.482,101.524,,Indonesia
6.8,6,7,green,771,us,596,0.0,19.3,mww,45.0,-28.094,-70.653,South America,Chile
7.0,9,9,,1623,us,500,0.0,22.7,mwc,13.0,18.443,-72.571,,Haiti
6.7,0,5,,691,us,0,0.0,0.0,mwc,164.4,-14.705,167.297,,Vanuatu
8.1,9,8,green,1021,us,0,0.739,21.0,mww,28.93,-29.7466,-177.224,,
7.2,8,7,yellow,1017,us,0,2.25,46.0,mww,24.0,17.397,-100.972,North America,Mexico
7.5,8,8,yellow,1094,us,0,4.951,40.0,mww,126.0,-4.4898,-76.8461,South America,Peru
7.0,8,5,,772,us,271,0.0,15.1,mwc,26.0,-4.963,133.76,,Indonesia
6.9,5,4,green,855,us,0,1.796,20.0,mww,10.0,11.9097,-88.8968,,
6.5,7,5,green,684,us,0,0.993,114.0,mww,21.0,12.1598,-87.8542,,
7.1,9,7,green,1075,us,0,4.29,23.0,mww,39.0,-15.7675,-74.7092,,Peru
6.9,1,4,green,732,us,0,4.024,22.0,mww,11.19,-11.0559,163.696,,
6.8,4,5,,734,us,519,0.0,12.5,mww,11.0,-20.244,168.226,,
7.7,4,7,,916,us,283,0.0,23.2,mww,45.0,-13.006,166.51,,Vanuatu
6.9,0,6,,732,us,0,0.0,0.0,mwb,33.0,-10.86,165.354,,
6.8,6,6,green,741,us,0,4.107,18.0,mww,101.0,-14.598,-73.5714,South America,Peru
6.6,7,5,green,899,us,70,1.634,28.0,mww,171.371,-38.1911,-70.3731,South America,Argentina
6.7,8,4,green,698,us,0,1.487,37.0,mww,11.0,0.1684,96.6475,,
6.8,0,7,,711,us,398,0.0,39.1,mwc,33.0,-30.608,-71.637,South America,Chile
6.6,6,5,,673,us,668,0.0,9.5,ms,25.7,39.241,142.463,,
6.6,6,6,,709,us,640,0.0,10.1,mww,118.0,-6.242,145.955,,Papua New Guinea
6.9,9,8,orange,1704,us,0,2.271,15.0,mww,34.0,-8.2581,116.438,,Indonesia
6.6,7,6,,703,us,323,0.0,48.2,mwc,14.0,28.164,-112.117,,
6.6,5,4,green,802,us,95,2.454,37.0,mww,10.0,20.0196,-61.0955,,
6.9,2,5,green,733,us,127,0.371,45.0,mww,10.0,-54.1325,159.027,,
6.6,8,6,green,765,us,0,0.41,35.0,mww,85.0,15.8015,-93.633,,Mexico
6.7,0,5,,691,us,352,0.0,0.0,mwc,33.0,-4.612,101.905,,Indonesia
7.9,6,8,green,963,us,0,0.133,22.0,mww,109.0,51.8486,178.735,North America,United States of America
6.8,0,3,green,711,us,131,0.0,18.0,mww,602.2,18.728,145.288,,
6.7,6,6,green,830,us,0,1.395,61.0,mww,10.0,7.5904,-82.8813,,
7.4,9,7,,848,us,365,0.0,33.7,mww,30.0,1.271,122.091,,Indonesia
6.9,7,7,green,1206,us,0,2.453,31.0,mww,21.0,-8.319,116.627,,Indonesia
7.8,9,8,green,961,us,0,1.836,13.0,mww,40.0,-10.6812,161.327,,Solomon Islands
6.8,6,6,,722,us,341,0.0,15.9,mwc,53.0,-5.757,147.098,,Papua New Guinea
6.7,0,7,,691,us,0,0.0,0.0,mwb,5.0,11.112,-60.892,,Trinidad and Tobago
6.8,0,6,,711,us,0,0.0,0.0,mwc,57.0,-20.438,169.287,,
6.8,0,6,,711,us,0,0.0,0.0,mwc,20.0,21.898,121.498,,Taiwan
7.0,0,6,,754,us,0,0.0,0.0,mwc,24.0,1.241,122.536,,Indonesia
6.5,4,2,green,652,us,115,2.739,20.0,mww,598.925,-4.8138,149.487,,Papua New Guinea
7.1,1,4,green,776,us,0,9.799,32.0,mww,6.0,-60.3026,-24.9992,,Antarctica
7.7,5,4,green,927,us,277,3.111,15.0,mww,18.027,-23.2286,170.694,,
6.6,3,6,,672,us,280,0.0,26.9,mwc,16.0,-10.95,162.149,,Solomon Islands
6.5,1,4,green,650,us,0,4.318,61.0,mww,8.0,5.9045,-82.6576,,
7.2,1,6,green,798,us,0,5.803,24.0,mww,78.0,-56.2409,-26.9353,,
6.6,7,6,green,709,us,0,2.485,43.0,mww,20.0,7.9401,-82.6865,,Panama
7.0,0,7,,754,us,0,0.0,0.0,mwc,110.2,-11.04,166.16,,Solomon Islands
7.1,6,5,,945,us,672,0.0,12.4,mwc,206.7,-1.266,-77.306,South America,Ecuador
7.3,7,6,,1221,us,934,0.0,15.5,mww,170.0,1.929,-76.362,South America,Colombia
7.0,8,7,orange,1527,us,0,1.518,18.0,mww,21.0,37.8973,26.7953,Europe,Greece
6.7,6,6,,972,us,468,0.0,37.7,mwc,23.0,13.554,-90.618,,
6.8,3,5,,713,us,494,0.0,23.9,mwc,21.0,-3.899,101.02,,Indonesia
7.1,6,6,green,780,us,0,0.592,11.0,mww,135.0,-14.8595,167.303,,Vanuatu
7.8,9,9,red,2910,us,118,1.919,32.0,mww,17.925,37.2012,36.9997,Asia,Turkiye
6.8,6,5,green,762,us,162,1.505,30.0,mww,220.0,-23.6141,-66.7236,South America,Argentina
6.9,8,8,,1562,us,383,0.0,13.0,mww,50.0,27.73,88.155,Asia,India
6.5,0,7,,650,us,247,0.0,28.7,mwc,33.0,-8.294,120.743,,Indonesia
7.2,0,7,,798,us,0,0.0,0.0,mwc,33.0,-0.593,-80.393,South America,Ecuador
6.5,8,7,,1400,us,578,0.0,38.6,mww,59.0,17.986,-99.789,North America,Mexico
6.9,3,4,green,735,us,0,2.785,18.0,mww,115.0,-31.7447,-179.373,,
7.7,5,7,,918,us,288,0.0,29.8,mwc,17.0,-0.414,132.885,,Indonesia
7.3,4,4,green,826,us,0,4.493,32.0,mww,527.0,-21.1036,174.895,,
6.7,0,6,,691,us,453,0.0,0.0,mwb,34.0,-4.786,153.275,,Papua New Guinea
6.9,5,6,green,736,us,531,0.0,20.7,mww,41.0,50.954,157.283,Asia,
7.3,0,6,,820,us,486,0.0,13.4,mwc,33.0,-20.071,168.892,,
6.8,6,6,yellow,1034,us,0,1.065,38.0,mww,38.12,13.7174,-90.9718,,
7.1,0,7,,776,us,0,0.0,0.0,mwc,73.7,-4.751,152.486,,Papua New Guinea
